steming_data,Score,Sentiment
gem ya burik kotak kotak aplikasi update sih game bab ngelek kotak kotak burik mending gua main minecraft ngelek bayar halang roblox david bazuki suka ngock game burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik burik yoi babi game ki rusek ok pas login adek koneksie dek ack pucak,-3,Negatif
game roblox melihan pesan sistem buka chat periksa usia atur info akun kangen roblox batas atur usia kangen roblox zaman roblox zaman era covid,-2,Negatif
roblox you suck stupid,0,Negatif
good,1,Positif
seru sih bug,0,Negatif
game ya bagus masuk,1,Positif
bagus sih suka roblox upgrade tau roblox pengin bikin baik suka upgrade memori penuh,-1,Negatif
ngelag su,0,Negatif
enak,0,Negatif
atmin ya kikir layer delta atmin kikir sih talon talon kikirr,3,Positif
seru banget roblok kirim robux,2,Positif
roblox pakai voice chat roblox lag musik ya suara suara map,3,Positif
ya loading disconnect jaring bagus,2,Positif
masuk akun gua,-2,Negatif
bagus dev lupa bikin versi diupdate main biar pakai cloud gaming biar rusak kayak game belah isi bot oh ya tolong langsung ban user redfinger guna script bikin gamenya rusak berantas jadi kayak growtopia acuh gede trimakasi kerja keras dev user sc kayak ban semua dev kelar ku kasih star,0,Negatif
anomali maling hu hu hu,0,Negatif
game seru orang waras server server brookhaven sus mohon kayak hack ya game seru gunung gunung seru puas bahagia terima kasih roblox bahagia roblox game seru sumpahhhh,4,Positif
roblox maaf tolong kembali akun roblox plis sesal,0,Negatif
bgss banget mapp,1,Positif
bagus banget jier,1,Positif
bagus ya game tualang seru banget,3,Positif
bagus geme main map masuk ngelag langsung geme roblox ya grafik bagus,1,Positif
bocil fomo caper,0,Negatif
attar,0,Negatif
pakai jaring game makan pulsa beli pulsa gb langsung habisss sisa gemenya bagus tunggu kali masuk eh tau pas masuk jaring kayak hantam hp tanah tolong baik biar habisin pulsa masuk pas masuk ngelag koneksi terputusss mohon hemat pulsa gamenya koneksi putus,-6,Negatif
main,0,Negatif
gamenya bagus kadang lag gara wifi bagus age verify ngeroleplay kgk suka ngeroleplay pakai trusted connection kgk verfiy age pas januari chat hapus thats plng fix ya pas main game bagus kayak ngeojek weh i mean ini woi thats fix please roblox editaku marah roblox,-1,Negatif
ngelek ngelek,0,Negatif
pls roblox hilang app player detected game roblox game grinding sayang mohong kembali roblox mengunakan cloud,1,Positif
enak sekaliya,0,Negatif
lumayan suka game ya bug moga bug,3,Positif
game jelek,0,Negatif
seru pakai wifi,0,Negatif
apk nya bagus pakai rf game bagus rf,1,Positif
gem seru,0,Negatif
seru banget main teman teman,1,Positif
suka,0,Negatif
meyenangkan,0,Negatif
hibur,0,Negatif
bikin senang banget asik kali roblox cinta roblox,2,Positif
bagus banget map ya,2,Positif
suka banget seru ajak teman mabar teman sekolah suka banget,4,Positif
suka banget games seru,1,Positif
update roblox klik update google chorme main roblox hp cuman leptop december tanggal,-1,Negatif
connection eror,-1,Negatif
game afk dicloud phone detected ah elah,1,Positif
ughh game gjls ping ya ngelunjak login hsr lancar benerin jaring,3,Positif
seru bangerr,0,Negatif
tolong roblok baik item baju bug item hilang baju mekar item kepala hilang tolong baik baju bug item kepala hilang,0,Negatif
gem ya senang,1,Positif
i have issues with security threats detected please remove for the next update,-2,Negatif
senang,0,Negatif
susah secret digame fish level an lulus element rod,0,Negatif
sering update,1,Positif
puas banget,2,Positif
bagus enak main teman,0,Negatif
bangak banget gemnya,1,Positif
item ku hilang sayang robux ku,-1,Negatif
why cant i try on many clothes the marketplace,-1,Negatif
tolong kurang sinyal bagus pas masuk roblox lumayan down sinyal,-2,Negatif
akun gue nge bugg woy koneksi suruh verifikasi nomer hp indonesia pakai no hp iniiii,-1,Negatif
sih main fist talon kikir malas gue kasih bintang,0,Negatif
lov lu talon,0,Negatif
beli robux rincian beli hasil robuxnya,1,Positif
woy nih sistem banned roblox baik laaa gue main santai orang ajak gue tukeran pas maksa gue eh laporin gue aneh mya gue kena banned gue nolak gue scam maksa ya gue main tolong roblox ngeband orang tuh pakai otak laaa salah gue coba minimal kali ngeband tuh orang suka hina orang tolong baik gue kasih bintang,-4,Negatif
game penuh kenang,1,Positif
dowload game ya jaring maksimal tolong benerin bug ya,5,Positif
cari teman gampang bosan map mes pakai kuota wifi biar main wifi rumah ilangilang wifinya ilangilang main ngeleg,-1,Negatif
main keren tantang misi misi ya goooood job,0,Negatif
iklan roblox tolong iklan ramah tonton,-1,Negatif
baju ya ngeblurr pas map tolong bug ya baik ya roblox,5,Positif
untukk game ya mantap bintang,3,Positif
fix bug you guys cant find economic location and cpu spike too,1,Positif
minus cuman ngeleg anjir susah main vd woyy lari lambat banget moga ngeleg nyaman main,1,Positif
gamenya keren banget,1,Positif
game ya bagus seru bug kadang kadang ngeleg patah patah pas main nge fresh loading ya banget jaring lancar bagus tolong hilang bug game ya mantap enak dimainin susah susah moga erti ya terimakasih,9,Positif
gem ya bagus seruh main gem,1,Positif
minus ngeleg,-1,Negatif
ngelag,0,Negatif
tolong gelisah login nama guna password salah password email pasuk kode lihat email kode masuk salah login,-4,Negatif
bagus,0,Negatif
gam bagus kali rubox,0,Negatif
geme rusak gue logot gue pasuk pw smaa nama gue pakai paskey brainrod gue beli roblox,0,Negatif
kocak usia pakai pisah server heboh heboh,-2,Negatif
seru banget,1,Positif
seru,0,Negatif
bagus,0,Negatif
game ya hp kentang main lancar,2,Positif
game ya bagus san tarik,3,Positif
login akun tulis something wrong please try again later mulu login akun satu tolong baik roblox woi akun bagus gue mainin,-2,Negatif
bagus banget,1,Positif
lindung player rusuh dalam game hukum korban terima rusuh player rusuh,3,Positif
suka game ya penguna cit menggangu ku main,2,Positif
introvert jarang tuh rumah cari teman roblox seruseru banget anjir tagih game,1,Positif
dah yapping,-1,Negatif
kasih bintang,0,Negatif
seruuuuuuuuuuuuuuu sekaliiiiiiii,0,Negatif
seru,0,Negatif
game ya bagus orang manjadi cerdas game sendiribisa cerdas,3,Positif
geme bagus,0,Negatif
geme ya kunjung geme horor parkur tanam roblox ambil ruang hp geme ya seru,-1,Negatif
hapus apk ya bagus bikin kaum remaja otak ya idiot,-1,Negatif
sih bikin sih arbi gra map ikan gua tau salah sepenuh roblox gara sinyal butut rumah hilang gb bayang tunggu jam ngabisin gb roblox bikin gua gagal mabar kunyuk gua nih asih bintang tau gua kirim robux ya nih akun maaf,-6,Negatif
pakai verifikasi bicara tolong robloxnya bebas brppun umur,-1,Negatif
ikan rahasia tolong sulit sampa bulan min kasihan warga new kelarin misi rod element,-1,Negatif
aneh pas lompat aga pas lari lancar,1,Positif
bagus banget suka banyaaak aplikasi nya main ngelag hp ku hehehe,0,Negatif
talon pelit kasi elemen rod stres gua kasih elemen rot kasih bintang,-3,Negatif
nice,1,Positif
game seru,1,Positif
roblox me dont can login roblox me,0,Negatif
gembagus akuseringmain roblox,0,Negatif
bagus aplikasi roblox,-1,Negatif
seru banget game ya,3,Positif
seruuuuuuuuuuuuuuuu,0,Negatif
game ya seru senang senang main game roblox,3,Positif
plis sikrit talon,0,Negatif
aplikasi bagus akun lupa password atas,-2,Negatif
game ya desember grafik ya rusak baju celana hd,4,Positif
roblox please remove connection lost due inactivity for minutes feature its very annoying when im afk fish sok please remove the feature,-3,Negatif
etik softjanee sensor toxic situ sensitif banget gila nih game,3,Positif
talon kikir game bagus,2,Positif
tolong bisain afk karan game game grindingafk barang item ya,1,Positif
game seru,1,Positif
bagus nian,1,Positif
bagus konten,0,Negatif
bagus banget pliss,1,Positif
game kerensangat serubanyak map seru asikwajib bintang game viral,2,Positif
game rusak lag parah masuk salah mapnyatapi pakai main game contohml lancar pakai banget kayak susah banget masuk salah map habisin kuota doang worth samsek,-4,Negatif
game bagus,1,Positif
mntap,0,Negatif
roblox seru,0,Negatif
inayah putri iroblox,0,Negatif
suka buram map ya,0,Negatif
disconectbaru masuk game kadang loading langsung disconect tolong bikin disconect,2,Positif
game seru lupa pas gue instal roblox gue tau bikin akun gue tau,0,Negatif
game game babi ngelag mulu dc mending nama ya goblox ajadah cocok nama ya roblox,3,Positif
game burik bikin anak candu game anak kristen game lol,1,Positif
fc mulu main radfingr jlas,0,Negatif
game bagua,1,Positif
gamenya berat banget,1,Positif
adegan dewasa,0,Negatif
i like fish and grow a garden,0,Negatif
game seru iklan,1,Positif
jelek,-1,Negatif
ngebug masuk server,-1,Negatif
masuk game fishit ya,1,Positif
good,1,Positif
login game ya lamaaaaaa,2,Positif
geme ya seru bagus,1,Positif
download game,1,Positif
game seru teman bosan terimakasih roblox,2,Positif
bagus,0,Negatif
game jelek orang aneh,0,Negatif
geme ya bagus banget main map mancing ikan suka,3,Positif
keren,0,Negatif
game ya seru banget main teman,3,Positif
burik kotak band dai malam blokir game usak otak,-3,Negatif
bagus banget game ya suka banget kasih bintang,4,Positif
game ya bagus bangetdan map map gunung,2,Positif
game senang grafik ya sungguh keren,2,Positif
game ya seru banget terimakasih admin roblox seru banget gamenya terimakasih,6,Positif
game ya bagus bagus memori map ya contoh tower maaf kasih,3,Positif
game ya bagus sih kadang kadang bug mana lobby chat hilang lihat orang online main game tolong benar bug ya ya roblox,9,Positif
ok bagus lumayan sih,1,Positif
serubanget bagus banget game ya,3,Positif
i like this game,1,Positif
seru banget roblox,1,Positif
seru banget mai plant vs brainrot,1,Positif
bagus banget game ya,3,Positif
game seru menarij,1,Positif
gem sangan seru,0,Negatif
bikin edit bug screen ranting,0,Negatif
seru,0,Negatif
gontaganti wifi masuk robloxnya tolong benerin,-1,Negatif
seru banget geme ya main,2,Positif
nih gamei love you roblox i hate hacker,-1,Negatif
game lumayan saru kreatif kasih bintang ngeleg,2,Positif
game ya sih bagus kadang kadang bug bagusgk guna,5,Positif
game bagus anakanak orang cabul tanggap,1,Positif
bagus gamenya seru,0,Negatif
gem mantap,1,Positif
seru gem ya,1,Positif
plis roblox kasih hoki game fish nama bskhytam,1,Positif
bagus,0,Negatif
suka main fis,0,Negatif
game palsu,1,Positif
mantappppppp mennnnnn,0,Negatif
game ya bagus banget ya dikit tinggal bugis ya baik,4,Positif
asik banget,2,Positif
bagus bgtwhen ya secret ku,1,Positif
this is a cool game overall but those brainrot things ruin,2,Positif
game ya bagus item ya mahal turunin harga ya internet ya bagus kadang eror,6,Positif
gem ya sih bagus plis hilang avatar zepeto,1,Positif
game seri bngat teman seru deh pokok nya,1,Positif
seru bangetdan teman,0,Negatif
seru terkadang ngebug,1,Positif
game nya sih seru pas main kedalewarsa,2,Positif
bagus anjay gue cowok game,0,Negatif
bagus cuman join tulis tbtb apk,1,Positif
akun hilang woi ngapa kapai,0,Negatif
bagus seru bagus,0,Negatif
gme bagus sal hp kentang main aman iya maaf salh ya,1,Positif
seru ajar hidup,0,Negatif
disconnect jaring bagus main roblox ngelek developer roblox tolong grafik rangin sekian terimakasih,2,Positif
game ngelag gta anjir ngelag ya banget hp gue ngecrash menit anying,3,Positif
pokok seru deh tolong kurang ya ya,1,Positif
akun roblox kena peringatananda riset password,-1,Negatif
game ya bagus map ya main ya seru,4,Positif
bagus banget mabar,1,Positif
gyuss main seru banget tau game mabar teman bosan main game teman loh pokok seru btw download ya aplikasi,2,Positif
this game often has bugs that pakai impossible play with fingers at once,1,Positif
bagus nomor,0,Negatif
bagusserudan senang,0,Negatif
robuxnya mahal gameplay bagus,1,Positif
bagu seru,0,Negatif
game favorit game bikin hilang stres,1,Positif
game ya seru,2,Positif
gam ya sagat seru,1,Positif
btw habis update bug ya ngeluh,0,Negatif
predators,0,Negatif
game bocill,1,Positif
bagus,0,Negatif
lengah dikit mic kena ban omong aneh susah obrol teman,-5,Negatif
sumpah roblox gua leg nih mae game kagak gerak,-1,Negatif
game seru banget grow a garden awwww seru main tower brookhaven kasih bintang dehhhhhh seru banget,3,Positif
exciting and lots of games play,0,Negatif
suka game roblox map ya brookhaven rp beryy avencu yower kawai map daki gunungmacam gunung suka map daki gunung sunda gemar obby peta peta hantu jepang lai gamenya bagus roblox kena upgrade update upgrade game map keren kasih raking game roblox game baik populer dunia kalang anak anak dewasa,2,Positif
bagus banget,1,Positif
suka,0,Negatif
bagus bos,1,Positif
cocok main game,1,Positif
mantulllllllll,0,Negatif
game mantap,2,Positif
game bagus tolong main game aplikasi cuman terimksih,1,Positif
main seru mohon betulin sebab ya sekian terima kasih,2,Positif
seru,0,Negatif
seru main orang,0,Negatif
gue bagus main samak keluarga teman,0,Negatif
bagus sih gem ya atur ya banget suruh verifikasi usia lag ingat awas ku blokir habis uang ganti rugi,0,Negatif
indah,0,Negatif
kasih tau talon biar mudah screat nya,-1,Negatif
game bagus banget,2,Positif
roblox rating bintang robux pakaianaksesori roblox gratis,1,Positif
game biar main game tagih game ya seru contoh ya nigh the fhoresht,4,Positif
i love roblox game ketemu teman,2,Positif
jujur habis main ya ya asik banget map ya game favorit ku,6,Positif
seru,0,Negatif
sempat pakai fitur verivikasi umur kamera tolong kasih sempat verifikasi umur kamera mohon tolong,0,Negatif
ya pakai wifi suka ngelag seru sih pakai kuota boros banget,0,Negatif
seru banget,1,Positif
game roblox kayak babi dikit dikit gua blokir main roblox,-5,Negatif
talon kasih secret,0,Negatif
roblox pls no verification bro robot can still join give a web bro your verification is and pakai all acount error like more safety but not more safety this game pakai me sok angry fr,0,Negatif
bagus map ya bosan trending sab suka scemer pakai chet badden riblox,1,Positif
game bagus seru,1,Positif
bad game,0,Negatif
aplikasi milik game teman,1,Positif
roblox script,0,Negatif
roblox game favorit,1,Positif
rame banget,1,Positif
seru banget main tingkat orang jahat kasar suka gamenya,1,Positif
gem bagus gem fisit,0,Negatif
perkara nge lag kena banned permanent lucu developer ya absolutely bintang,-1,Negatif
main game masuk hp mati total heng simpan ya hp panassedih masak main,0,Negatif
bundle ku bagus hilang item nya tololll buang duit,-2,Negatif
main suka,0,Negatif
ribut ya,1,Positif
bagus seru banget main roblox,1,Positif
gem ya sih bagus pakai ya gratis jelek jelek ya kasih bagus dikit,1,Positif
bagus banget ngelek game ya seru kenal orang roblox viks bagus,3,Positif
game ya ngeleg banget jelek map ya game robuxx,4,Positif
suka main roblox teman,0,Negatif
game usak generasi bangsa,-1,Negatif
this game is already good but the voice chat filter is a little bit sensitive wasnt,3,Positif
tombol ya pencet ya pencet lompat lompat,0,Negatif
gm nya bagus banget,1,Positif
bagus banget,1,Positif
aplikasi error masuk home tombol navigasi kanan kiri fungsi tolong baik,-4,Negatif
iklan kampanye aplikasi roblox ya admin mohon baik mana iklan kampanye aplikasi ya admin ya,3,Positif
aplikasi bagusdan kerensaya suka,-1,Negatif
akun gue lock region vietnam kali kali hubung cs tanggap gue bikin akun b nih apk profesional,0,Negatif
gamenya bagus game game diroblox tolong baik bug lag jaring ku bagus tolong baik ya,4,Positif
roblox item baju celana roblox hapus terima beli mahal tolong baik,1,Positif
akun ya suka diloginin suruh update update suruh update melulu,-2,Negatif
game bagus tolong bug ya baik main game,3,Positif
seru fish,0,Negatif
seru sinyal suka jelek baik,-1,Negatif
geme bagus,0,Negatif
bagus banget,1,Positif
bagus bug ya,1,Positif
akun roblox verifikasi ponsel kode nomor indonesia mohon baik ya kak chat koneksi orang,1,Positif
game sigma wing talon qiqir,1,Positif
game bagus,1,Positif
jelek banget sumpah lag isi jaring bagus eh situ sinyal pokok jelekkk kecewa,1,Positif
geme suka donlot donlot bintang infiniti,0,Negatif
game jellek game kotak kotak bocah,0,Negatif
main ya jamin seru banget,1,Positif
bagus banget gamenya,1,Positif
gara gara layar hp gue rusak nih,-2,Negatif
bagus keren habis,0,Negatif
game scam,1,Positif
pls delete the scan goverment id for chat,-1,Negatif
roblox tolong tuh banget rendernya grafik sesuai sinyal bagus lancar langit hitam objek tangga tubuh avatar ya badan semenjak update sih sulit main tebak mana posisi tangga daki gunung objek hilang telat minggu help me please,-2,Negatif
blokir spam orang jahat hina sayajadi malas main game jelek,-5,Negatif
game bikin cowok selingkuh hhaa,0,Negatif
gem seruh roblox bong kir,0,Negatif
gem ya bagusssss,1,Positif
pokok geme ya bagus banget ber katakata kadang masuk srper ya sih bagus,3,Positif
main roblox orang tua,-1,Negatif
bagus,0,Negatif
gemnya bagus,0,Negatif
suka main bunuh creatures of sonaria,-1,Negatif
ngleg sinyal ya,1,Positif
banget pilih map,0,Negatif
game ya bagus banget suka main ya mabar,4,Positif
gameee tuhhhh behh buagussss buangetttt seru bgttttt,0,Negatif
seru banget beli robak beli baju bagus,2,Positif
seruuuu,0,Negatif
game ya seru main,2,Positif
seru banget plisapalagi map seru kurang lagnya ya,1,Positif
developer purapura gua capekcapek main game roblox gua suka suka ngekik gua roblox gua kasih bintang syukurin developer map game gamenya seru sih cuman cuman koneksi wifinya sih lancar cuman bikin player roblox kontrol emosi afk sebab player roblox afk,-2,Negatif
wa ambil curi brainrot meol dapettin meol susah banget alhamdulillah meol,-1,Negatif
bintang game ya update berat tolong update game ya berat berat tolong baca ya,5,Positif
game senang pilih komunikasi chat pribadi game seru morid bintang seru,2,Positif
game seru senang,1,Positif
main malam hutan,0,Negatif
bagus banget,1,Positif
game ya bagus,2,Positif
bagus nge crash,-1,Negatif
seru banget main roblox main til a brarut boboiboy kuasa,2,Positif
seru banget sih sumpah ganti map main sayang pakai paket data wifi,1,Positif
roblox is sok much fun,0,Negatif
suka banget kode sebal tolong murah rp itempakaian aksesoris,0,Negatif
main hutan,1,Positif
game ya bagus gue suka map nya mainin gue suka item ugc cari item ugc kadang afk pas gue coba cari item ugc pesti halang gue ben ben bikin tshirt doang ban roblox,-3,Negatif
damsjsjs gem bagus banet sif,0,Negatif
tolong koneksi ya baik wifi lancar login koneksi eror,0,Negatif
main simulasi,0,Negatif
robux infinity,0,Negatif
game ya seru asik,3,Positif
rating seru bikin gue bahagia,0,Negatif
mantap,1,Positif
bagus game ya seru,2,Positif
bikin tagih,-1,Negatif
cok kaken bacot game rating,1,Positif
suka disconnect pas afk,1,Positif
bagus doang,0,Negatif
game ee gue decal kali kagak mulu pas pas bangkai,1,Positif
bagus minus dikit game ya anak ya sopan,0,Negatif
bagus habis sukakk banget apk main ya main seru tantang,1,Positif
main ya bagus main ya mabar temanseru,2,Positif
game ya seru bagus map ya,3,Positif
gem ya bagus,1,Positif
game bagus game band,2,Positif
buattt mood balekk kadang lag kali,2,Positif
the game is good but please a voice chat feature without an id card,2,Positif
bagus aplikasi ya bagus lalot,0,Negatif
server ya eror mulu,0,Negatif
bintang simpan jaring an lancar bug tolong baik,0,Negatif
apcborang cari dluan gue block roblox game bocildikit dikit block,-3,Negatif
gem ya bagus cocok anakanak tampa iklan,1,Positif
game ya bagus main fist,2,Positif
gem ya seru,1,Positif
bagus game bagus,1,Positif
the game is sok bad when i play a map that i like always exits the application by itself and that makes me very upset i beg you fix again dont pakai players who feel like me become upset like me the game is really really bad unlike the old version there were no glitches at all for the current version i really disappointed,0,Negatif
tipu trade ganti fitur trade orang,0,Negatif
bagus banget ungrrr,1,Positif
tolong main akun ambil orang nama arthariskysi tingkat aman hecer gem ajing,0,Negatif
bagus bangetbtw tambah game ya ya min biar,4,Positif
sistem aman game ya jelek banget masak akun hilang,1,Positif
game ya seru,2,Positif
seru ajar game,1,Positif
woi bagus nya main,0,Negatif
kembali akun roblox ku,0,Negatif
seru main hibur,0,Negatif
main ya seru banget,2,Positif
bagus hd gasuka update atur hilang gamepass tombolnyaa bingung game pas dimanaa viturnya bikin puyengg kayak vitur plsss,0,Negatif
mohon developer ya baik bug ya avatar kali alami bug avatar ya buram tom buram map bulak cari hilang bug ya avatar buram mohon baik,-1,Negatif
roblok bagus neng hapus,-1,Negatif
mabar kena bug,-1,Negatif
suka banget main ya game minecraft pokok suka banget,4,Positif
game ya seru banget semenjak main game teman,4,Positif
keren,0,Negatif
seru banget,1,Positif
game bagus game ya bosn ganti ganti teman ramah orang jahatmunafik reting,3,Positif
barus,0,Negatif
roblox admin come on please update the game sok that can be played on a cloud phone pakai easier play games that require grinding if you cant use a cloud phone could even damage our own devices come on please update sok that we can use a cloud phone again,-1,Negatif
cari map diroblox pilih map cdid malam hutan,-2,Negatif
game tahi,0,Negatif
bagus hidup tani game,1,Positif
tarik sayang utus koneksi toong baik,1,Positif
roblox baik,0,Negatif
bagus banget dalam game seruseperti game tembaktembakandllterus gue pakai delta,4,Positif
game ya bagus,2,Positif
game ya bagus hp panas tibatiba,2,Positif
kasih bintang suka main tapiaku suruh hapus ku developer roblox mohon ban main,-2,Negatif
pakai wifi,0,Negatif
bagus banget ganti usn mahal,2,Positif
bagus bangess sukaaaaaaaa ih lucu gemas,0,Negatif
bug ya ngeblur nyaman banget lihat baju nge blur,4,Positif
lumayan seruh sih secret,0,Negatif
tolong shift lock butuh,-2,Negatif
coba wajib coba deh,-1,Negatif
bagus sih masuk ya robloxnya gamenya sinyal lancar,0,Negatif
game bagus,1,Positif
geme ya bayak,1,Positif
secreat,0,Negatif
suka main roblox,0,Negatif
seruuuu,0,Negatif
update baru roblox min hih,-1,Negatif
game suruh adep mulu,0,Negatif
game senang,1,Positif
bagus top up sih ya worthit jujur download sih cocok kadang ya ngelag ya ya byee,6,Positif
seru banget anjing,0,Negatif
suka kotakkotak,0,Negatif
bagus gamenya suka banget game nama roblox,2,Positif
seru,0,Negatif
aplikasi ya error,-1,Negatif
bagus sih game susah tuh noob tolong banned orang bikin tower susahplus server ya downgame kikir,2,Positif
tolong kasih tau talon kikir,0,Negatif
gamenya bagussssss,0,Negatif
dengen alam game,1,Positif
roblox bagus banget karakter luculucu main ya bagus banget,3,Positif
vagusbangetgemnyah,0,Negatif
gemas bego diam doang katain jalan katain kayak tiktok orang ya tau akhlak bocil bodoin gemas bocil hp hp ya ambil rumah hancur,1,Positif
tolong benerkan akun roblox ku banned,0,Negatif
bagus robux gratis,1,Positif
gue bagus banget,1,Positif
game bagus banget sumpah ajar,2,Positif
cocok bosan,0,Negatif
game sih play store anjir,1,Positif
game ya sih seru banget cuman citer tower tower kasih ranting plis developer perkuatin game ya,5,Positif
bagus sih kadang nge lag jaring bagus bagus,2,Positif
l update,0,Negatif
kena bug bacaaan kayak ref afmelr security threat detected tolong biar,-2,Negatif
tolongg adminnn eror ya sinyal bagus lancar tida masuk,-1,Negatif
main ya bagus banget,2,Positif
gamenya seru banget main hp panas,1,Positif
loading gabung blok roblox buruk kamubandi fix roblox rumah admin,-1,Negatif
game seru banget game favorit grow a garden roblox seru mabar chat tolong tambah map roblox seru batas sih rating bintang murah robux ya ya borong deh,6,Positif
wow amazing roblox,0,Negatif
asik banget,2,Positif
gamee vav sih suka sieehhh mapp fish pokoknyaa sukakk banget deh,1,Positif
towernya kesal,0,Negatif
asik,1,Positif
game ya bagus fist,2,Positif
buruk,-1,Negatif
suka roblox,0,Negatif
turunin mbak ya gua instal gakbisa,0,Negatif
game seruuuuuuuuuu banget tagih main grow a garden,1,Positif
bagus banget roblok seru teryata,1,Positif
gamenya bagus disconet kont,0,Negatif
sumpah seru banget gema cobaindah,2,Positif
terima kasih ya roblox tani streess ku respect,2,Positif
iklan mu ku jengkel iklan mu pendek adil,-1,Negatif
bagus namu gem hapus,-1,Negatif
gem ya cakep,1,Positif
game ya bagus,2,Positif
bagus seru bug ya,1,Positif
ok banget,2,Positif
bagus seru mabar teman,0,Negatif
hp custom room update,0,Negatif
game gajelasasal nge ban oranggw etik pft doang ban reason harrasment,1,Positif
suka banget game nya map jajah perbanyakin item gratis nya orang bagi tolong ya developer nya sekian ulas semuaa,2,Positif
gema bagus masuk game ya masuk tolong hapus stel a brenrod gamenya berat,0,Negatif
i like that game sok much love,1,Positif
dikit dikit koneksi putus,-2,Negatif
updateeee suruh update pas gamenya tolong baik,0,Negatif
luarbiasa,0,Negatif
main ya seru banget mabar teman crush,2,Positif
bagus,0,Negatif
enak gem ya pakai wifi login ya,2,Positif
seru gene nya,0,Negatif
seru,0,Negatif
jujur game seru banget obrol vc vr ngechat main bareng,2,Positif
robux,0,Negatif
plsss seru banget anjir donglot,1,Positif
game ya keren suka,2,Positif
seru banget,1,Positif
game top up robux main pakai data wifi akun roblox buka roblox,1,Positif
bagus game ya mabar teman kurang eror game paused,1,Positif
game bolehin afk pas update kadang eror hadeh,1,Positif
game ya seru seru map fish pokok ya seru banget deh,4,Positif
btw main old main,0,Negatif
seru banget main,1,Positif
game bagus game upgrade susah kemarin mengupgrade roblox ya meng hapus whatsapp pas upgrade hapus aplikasi cuman aplikasi mohon baik ya,0,Negatif
gamenya bagus banget,1,Positif
bagus sih game ya gunung ya susah loh papa,2,Positif
gem asik,1,Positif
main lobby loading erorr pls baik,-1,Negatif
robuk,0,Negatif
game ya seru banget kaya seru map robax update kasih robux kasih seru gema sumpah seru banget tau kasih bintang deh,4,Positif
seru banget sih suka orang seru asyik suka geme terimakasih buat game ya terimakasih,6,Positif
permainanjya seru banget,1,Positif
game seru banget map ya,3,Positif
iklan menit anjing,-1,Negatif
tolong roblox tambah biar akses voice changer versi mobilehptablet minplis min,2,Positif
puas game map main pesan roblox banyakkin map ya,3,Positif
talon plis kasih gua secret kali pancing ya,0,Negatif
bagus sih gamenya malesnya pas masuk,0,Negatif
game ya bagus grafik lumayan main ya game grow a garden pet huge titanic godly mega jumbo tolong baik the game is good the graphics are decent there are lots of games but the problem is the grow a garden game i dont know why all the pets become small even though they are huge titanic godly orang mega and jumbo they are still the same,5,Positif
game asik lere,2,Positif
game bagus anak umur,0,Negatif
bagus main gem roblox,0,Negatif
gamenya fish itgrow a garden dll,0,Negatif
seru banget game,2,Positif
geme ya bagus orang orang roblox kasih ya,2,Positif
