steming_data,Score,Sentiment
game seru orang waras server server brookhaven sus mohon kayak hack ya game seru gunung gunung seru puas bahagia terima kasih roblox bahagia roblox game seru sumpahhhh,8,Positif
roblox maaf tolong kembali akun roblox plis sesal,0,Negatif
bgss banget mapp,1,Positif
bagus banget jier,2,Positif
bagus geme main map masuk ngelag langsung geme roblox ya grafik bagus,2,Positif
bocil fomo caper,0,Negatif
attar,0,Negatif
pakai jaring game makan pulsa beli pulsa gb langsung habisss sisa gemenya bagus tunggu kali masuk eh tau pas masuk jaring kayak hantam hp tanah tolong baik biar habisin pulsa masuk pas masuk ngelag koneksi terputusss mohon hemat pulsa gamenya koneksi putus,-5,Negatif
main,0,Negatif
gamenya bagus kadang lag gara wifi bagus age verify ngeroleplay kgk suka ngeroleplay pakai trusted connection kgk verfiy age pas januari chat hapus thats plng fix ya pas main game bagus kayak ngeojek weh i mean ini woi thats fix please roblox editaku marah roblox,2,Positif
ngelek ngelek,0,Negatif
pls roblox hilang app player detected game roblox game grinding sayang mohong kembali roblox mengunakan cloud,1,Positif
enak sekaliya,1,Positif
lumayan suka game ya bug moga bug,2,Positif
game jelek,-1,Negatif
seru pakai wifi,1,Positif
apk nya bagus pakai rf game bagus rf,3,Positif
gem seru,1,Positif
seru banget main teman teman,2,Positif
suka,1,Positif
meyenangkan,0,Negatif
hibur,0,Negatif
bikin senang banget asik kali roblox cinta roblox,3,Positif
bagus banget map ya,3,Positif
suka banget seru ajak teman mabar teman sekolah suka banget,7,Positif
suka banget games seru,3,Positif
update roblox klik update google chorme main roblox hp cuman leptop december tanggal,-1,Negatif
connection eror,-2,Negatif
game afk dicloud phone detected ah elah,1,Positif
ughh game gjls ping ya ngelunjak login hsr lancar benerin jaring,4,Positif
seru bangerr,1,Positif
tolong roblok baik item baju bug item hilang baju mekar item kepala hilang tolong baik baju bug item kepala hilang,0,Negatif
gem ya senang,2,Positif
i have issues with security threats detected please remove for the next update,-2,Negatif
senang,1,Positif
susah secret digame fish level an lulus element rod,0,Negatif
sering update,1,Positif
puas banget,3,Positif
bagus enak main teman,2,Positif
bangak banget gemnya,1,Positif
item ku hilang sayang robux ku,-1,Negatif
why cant i try on many clothes the marketplace,-1,Negatif
tolong kurang sinyal bagus pas masuk roblox lumayan down sinyal,-1,Negatif
akun gue nge bugg woy koneksi suruh verifikasi nomer hp indonesia pakai no hp iniiii,-1,Negatif
sih main fist talon kikir malas gue kasih bintang,0,Negatif
lov lu talon,0,Negatif
beli robux rincian beli hasil robuxnya,1,Positif
woy nih sistem banned roblox baik laaa gue main santai orang ajak gue tukeran pas maksa gue eh laporin gue aneh mya gue kena banned gue nolak gue scam maksa ya gue main tolong roblox ngeband orang tuh pakai otak laaa salah gue coba minimal kali ngeband tuh orang suka hina orang tolong baik gue kasih bintang,-1,Negatif
game penuh kenang,1,Positif
dowload game ya jaring maksimal tolong benerin bug ya,4,Positif
cari teman gampang bosan map mes pakai kuota wifi biar main wifi rumah ilangilang wifinya ilangilang main ngeleg,-2,Negatif
main keren tantang misi misi ya goooood job,1,Positif
iklan roblox tolong iklan ramah tonton,-3,Negatif
baju ya ngeblurr pas map tolong bug ya baik ya roblox,5,Positif
untukk game ya mantap bintang,4,Positif
fix bug you guys cant find economic location and cpu spike too,0,Negatif
minus cuman ngeleg anjir susah main vd woyy lari lambat banget moga ngeleg nyaman main,1,Positif
gamenya keren banget,2,Positif
game ya bagus seru bug kadang kadang ngeleg patah patah pas main nge fresh loading ya banget jaring lancar bagus tolong hilang bug game ya mantap enak dimainin susah susah moga erti ya terimakasih,11,Positif
gem ya bagus seruh main gem,2,Positif
minus ngeleg,-1,Negatif
ngelag,-1,Negatif
tolong gelisah login nama guna password salah password email pasuk kode lihat email kode masuk salah login,-4,Negatif
bagus,1,Positif
gam bagus kali rubox,1,Positif
geme rusak gue logot gue pasuk pw smaa nama gue pakai paskey brainrod gue beli roblox,-1,Negatif
kocak usia pakai pisah server heboh heboh,-2,Negatif
seru banget,2,Positif
seru,1,Positif
bagus,1,Positif
game ya hp kentang main lancar,3,Positif
game ya bagus san tarik,4,Positif
login akun tulis something wrong please try again later mulu login akun satu tolong baik roblox woi akun bagus gue mainin,0,Negatif
bagus banget,2,Positif
lindung player rusuh dalam game hukum korban terima rusuh player rusuh,3,Positif
suka game ya penguna cit menggangu ku main,3,Positif
introvert jarang tuh rumah cari teman roblox seruseru banget anjir tagih game,1,Positif
dah yapping,-1,Negatif
kasih bintang,0,Negatif
seruuuuuuuuuuuuuuu sekaliiiiiiii,0,Negatif
seru,1,Positif
game ya bagus orang manjadi cerdas game sendiribisa cerdas,4,Positif
geme bagus,1,Positif
geme ya kunjung geme horor parkur tanam roblox ambil ruang hp geme ya seru,0,Negatif
hapus apk ya bagus bikin kaum remaja otak ya idiot,0,Negatif
sih bikin sih arbi gra map ikan gua tau salah sepenuh roblox gara sinyal butut rumah hilang gb bayang tunggu jam ngabisin gb roblox bikin gua gagal mabar kunyuk gua nih asih bintang tau gua kirim robux ya nih akun maaf,-6,Negatif
pakai verifikasi bicara tolong robloxnya bebas brppun umur,-1,Negatif
ikan rahasia tolong sulit sampa bulan min kasihan warga new kelarin misi rod element,-1,Negatif
aneh pas lompat aga pas lari lancar,2,Positif
bagus banget suka banyaaak aplikasi nya main ngelag hp ku hehehe,1,Positif
talon pelit kasi elemen rod stres gua kasih elemen rot kasih bintang,-3,Negatif
nice,1,Positif
game seru,2,Positif
roblox me dont can login roblox me,0,Negatif
gembagus akuseringmain roblox,0,Negatif
bagus aplikasi roblox,0,Negatif
seru banget game ya,4,Positif
seruuuuuuuuuuuuuuuu,0,Negatif
game ya seru senang senang main game roblox,6,Positif
plis sikrit talon,0,Negatif
aplikasi bagus akun lupa password atas,-1,Negatif
game ya desember grafik ya rusak baju celana hd,3,Positif
roblox please remove connection lost due inactivity for minutes feature its very annoying when im afk fish sok please remove the feature,-3,Negatif
etik softjanee sensor toxic situ sensitif banget gila nih game,3,Positif
talon kikir game bagus,3,Positif
tolong bisain afk karan game game grindingafk barang item ya,1,Positif
game seru,2,Positif
bagus nian,2,Positif
bagus konten,1,Positif
bagus banget pliss,2,Positif
game kerensangat serubanyak map seru asikwajib bintang game viral,3,Positif
game rusak lag parah masuk salah mapnyatapi pakai main game contohml lancar pakai banget kayak susah banget masuk salah map habisin kuota doang worth samsek,-5,Negatif
game bagus,2,Positif
mntap,0,Negatif
roblox seru,1,Positif
inayah putri iroblox,0,Negatif
suka buram map ya,1,Positif
disconectbaru masuk game kadang loading langsung disconect tolong bikin disconect,2,Positif
game seru lupa pas gue instal roblox gue tau bikin akun gue tau,1,Positif
game game babi ngelag mulu dc mending nama ya goblox ajadah cocok nama ya roblox,1,Positif
game burik bikin anak candu game anak kristen game lol,0,Negatif
fc mulu main radfingr jlas,0,Negatif
game bagua,1,Positif
gamenya berat banget,0,Negatif
adegan dewasa,0,Negatif
i like fish and grow a garden,0,Negatif
game seru iklan,1,Positif
jelek,-2,Negatif
ngebug masuk server,-1,Negatif
masuk game fishit ya,1,Positif
good,1,Positif
login game ya lamaaaaaa,2,Positif
geme ya seru bagus,3,Positif
download game,1,Positif
game seru teman bosan terimakasih roblox,2,Positif
bagus,1,Positif
game jelek orang aneh,-1,Negatif
geme ya bagus banget main map mancing ikan suka,5,Positif
keren,1,Positif
game ya seru banget main teman,4,Positif
burik kotak band dai malam blokir game usak otak,-4,Negatif
bagus banget game ya suka banget kasih bintang,6,Positif
game ya bagus bangetdan map map gunung,3,Positif
game senang grafik ya sungguh keren,4,Positif
game ya seru banget terimakasih admin roblox seru banget gamenya terimakasih,8,Positif
game ya bagus bagus memori map ya contoh tower maaf kasih,5,Positif
game ya bagus sih kadang kadang bug mana lobby chat hilang lihat orang online main game tolong benar bug ya ya roblox,8,Positif
ok bagus lumayan sih,3,Positif
serubanget bagus banget game ya,4,Positif
i like this game,1,Positif
seru banget roblox,2,Positif
seru banget mai plant vs brainrot,2,Positif
bagus banget game ya,4,Positif
game seru menarij,2,Positif
gem sangan seru,1,Positif
bikin edit bug screen ranting,-1,Negatif
seru,1,Positif
gontaganti wifi masuk robloxnya tolong benerin,-1,Negatif
seru banget geme ya main,3,Positif
nih gamei love you roblox i hate hacker,-1,Negatif
game lumayan saru kreatif kasih bintang ngeleg,2,Positif
game ya sih bagus kadang kadang bug bagusgk guna,5,Positif
game bagus anakanak orang cabul tanggap,2,Positif
bagus gamenya seru,2,Positif
gem mantap,2,Positif
seru gem ya,2,Positif
plis roblox kasih hoki game fish nama bskhytam,1,Positif
bagus,1,Positif
suka main fis,1,Positif
game palsu,1,Positif
mantappppppp mennnnnn,0,Negatif
game ya bagus banget ya dikit tinggal bugis ya baik,6,Positif
asik banget,2,Positif
bagus bgtwhen ya secret ku,2,Positif
this is a cool game overall but those brainrot things ruin,2,Positif
game ya bagus item ya mahal turunin harga ya internet ya bagus kadang eror,6,Positif
gem ya sih bagus plis hilang avatar zepeto,2,Positif
game seri bngat teman seru deh pokok nya,2,Positif
seru bangetdan teman,1,Positif
seru terkadang ngebug,2,Positif
game nya sih seru pas main kedalewarsa,3,Positif
bagus anjay gue cowok game,1,Positif
bagus cuman join tulis tbtb apk,2,Positif
akun hilang woi ngapa kapai,0,Negatif
bagus seru bagus,3,Positif
gme bagus sal hp kentang main aman iya maaf salh ya,2,Positif
seru ajar hidup,1,Positif
disconnect jaring bagus main roblox ngelek developer roblox tolong grafik rangin sekian terimakasih,2,Positif
game ngelag gta anjir ngelag ya banget hp gue ngecrash menit anying,1,Positif
pokok seru deh tolong kurang ya ya,2,Positif
akun roblox kena peringatananda riset password,-1,Negatif
game ya bagus map ya main ya seru,6,Positif
bagus banget mabar,2,Positif
gyuss main seru banget tau game mabar teman bosan main game teman loh pokok seru btw download ya aplikasi,3,Positif
this game often has bugs that pakai impossible play with fingers at once,1,Positif
bagus nomor,1,Positif
bagusserudan senang,1,Positif
robuxnya mahal gameplay bagus,1,Positif
bagu seru,1,Positif
game favorit game bikin hilang stres,1,Positif
game ya seru,3,Positif
gam ya sagat seru,2,Positif
btw habis update bug ya ngeluh,-1,Negatif
predators,0,Negatif
game bocill,1,Positif
bagus,1,Positif
lengah dikit mic kena ban omong aneh susah obrol teman,-5,Negatif
sumpah roblox gua leg nih mae game kagak gerak,-1,Negatif
game seru banget grow a garden awwww seru main tower brookhaven kasih bintang dehhhhhh seru banget,6,Positif
exciting and lots of games play,0,Negatif
suka game roblox map ya brookhaven rp beryy avencu yower kawai map daki gunungmacam gunung suka map daki gunung sunda gemar obby peta peta hantu jepang lai gamenya bagus roblox kena upgrade update upgrade game map keren kasih raking game roblox game baik populer dunia kalang anak anak dewasa,7,Positif
bagus banget,2,Positif
suka,1,Positif
bagus bos,2,Positif
cocok main game,1,Positif
mantulllllllll,0,Negatif
game mantap,3,Positif
game bagus tolong main game aplikasi cuman terimksih,2,Positif
main seru mohon betulin sebab ya sekian terima kasih,3,Positif
seru,1,Positif
seru main orang,1,Positif
gue bagus main samak keluarga teman,1,Positif
bagus sih gem ya atur ya banget suruh verifikasi usia lag ingat awas ku blokir habis uang ganti rugi,0,Negatif
indah,0,Negatif
kasih tau talon biar mudah screat nya,0,Negatif
game bagus banget,3,Positif
roblox rating bintang robux pakaianaksesori roblox gratis,1,Positif
game biar main game tagih game ya seru contoh ya nigh the fhoresht,5,Positif
i love roblox game ketemu teman,2,Positif
jujur habis main ya ya asik banget map ya game favorit ku,6,Positif
seru,1,Positif
sempat pakai fitur verivikasi umur kamera tolong kasih sempat verifikasi umur kamera mohon tolong,0,Negatif
ya pakai wifi suka ngelag seru sih pakai kuota boros banget,1,Positif
seru banget,2,Positif
game roblox kayak babi dikit dikit gua blokir main roblox,-5,Negatif
talon kasih secret,0,Negatif
roblox pls no verification bro robot can still join give a web bro your verification is and pakai all acount error like more safety but not more safety this game pakai me sok angry fr,-1,Negatif
bagus map ya bosan trending sab suka scemer pakai chet badden riblox,2,Positif
game bagus seru,3,Positif
bad game,0,Negatif
aplikasi milik game teman,1,Positif
roblox script,0,Negatif
roblox game favorit,1,Positif
rame banget,2,Positif
seru banget main tingkat orang jahat kasar suka gamenya,3,Positif
gem bagus gem fisit,1,Positif
perkara nge lag kena banned permanent lucu developer ya absolutely bintang,-2,Negatif
main game masuk hp mati total heng simpan ya hp panassedih masak main,0,Negatif
bundle ku bagus hilang item nya tololll buang duit,-1,Negatif
main suka,1,Positif
ribut ya,1,Positif
bagus seru banget main roblox,3,Positif
gem ya sih bagus pakai ya gratis jelek jelek ya kasih bagus dikit,1,Positif
bagus banget ngelek game ya seru kenal orang roblox viks bagus,6,Positif
game ya ngeleg banget jelek map ya game robuxx,3,Positif
suka main roblox teman,1,Positif
game usak generasi bangsa,-1,Negatif
this game is already good but the voice chat filter is a little bit sensitive wasnt,3,Positif
tombol ya pencet ya pencet lompat lompat,0,Negatif
gm nya bagus banget,2,Positif
bagus banget,2,Positif
aplikasi error masuk home tombol navigasi kanan kiri fungsi tolong baik,-4,Negatif
iklan kampanye aplikasi roblox ya admin mohon baik mana iklan kampanye aplikasi ya admin ya,2,Positif
aplikasi bagusdan kerensaya suka,0,Negatif
akun gue lock region vietnam kali kali hubung cs tanggap gue bikin akun b nih apk profesional,0,Negatif
gamenya bagus game game diroblox tolong baik bug lag jaring ku bagus tolong baik ya,6,Positif
roblox item baju celana roblox hapus terima beli mahal tolong baik,1,Positif
akun ya suka diloginin suruh update update suruh update melulu,-1,Negatif
game bagus tolong bug ya baik main game,4,Positif
seru fish,1,Positif
seru sinyal suka jelek baik,1,Positif
geme bagus,1,Positif
bagus banget,2,Positif
bagus bug ya,1,Positif
akun roblox verifikasi ponsel kode nomor indonesia mohon baik ya kak chat koneksi orang,2,Positif
game sigma wing talon qiqir,1,Positif
game bagus,2,Positif
jelek banget sumpah lag isi jaring bagus eh situ sinyal pokok jelekkk kecewa,-1,Negatif
geme suka donlot donlot bintang infiniti,1,Positif
game jellek game kotak kotak bocah,0,Negatif
main ya jamin seru banget,2,Positif
bagus banget gamenya,2,Positif
gara gara layar hp gue rusak nih,-3,Negatif
bagus keren habis,2,Positif
game scam,1,Positif
pls delete the scan goverment id for chat,-1,Negatif
roblox tolong tuh banget rendernya grafik sesuai sinyal bagus lancar langit hitam objek tangga tubuh avatar ya badan semenjak update sih sulit main tebak mana posisi tangga daki gunung objek hilang telat minggu help me please,0,Negatif
blokir spam orang jahat hina sayajadi malas main game jelek,-6,Negatif
game bikin cowok selingkuh hhaa,0,Negatif
gem seruh roblox bong kir,0,Negatif
gem ya bagusssss,1,Positif
pokok geme ya bagus banget ber katakata kadang masuk srper ya sih bagus,5,Positif
main roblox orang tua,-1,Negatif
bagus,1,Positif
gemnya bagus,1,Positif
suka main bunuh creatures of sonaria,0,Negatif
ngleg sinyal ya,1,Positif
banget pilih map,0,Negatif
game ya bagus banget suka main ya mabar,6,Positif
gameee tuhhhh behh buagussss buangetttt seru bgttttt,1,Positif
seru banget beli robak beli baju bagus,4,Positif
seruuuu,0,Negatif
game ya seru main,3,Positif
seru banget plisapalagi map seru kurang lagnya ya,3,Positif
developer purapura gua capekcapek main game roblox gua suka suka ngekik gua roblox gua kasih bintang syukurin developer map game gamenya seru sih cuman cuman koneksi wifinya sih lancar cuman bikin player roblox kontrol emosi afk sebab player roblox afk,2,Positif
wa ambil curi brainrot meol dapettin meol susah banget alhamdulillah meol,-1,Negatif
bintang game ya update berat tolong update game ya berat berat tolong baca ya,2,Positif
game senang pilih komunikasi chat pribadi game seru morid bintang seru,5,Positif
game seru senang,3,Positif
main malam hutan,0,Negatif
bagus banget,2,Positif
game ya bagus,3,Positif
bagus nge crash,-1,Negatif
seru banget main roblox main til a brarut boboiboy kuasa,3,Positif
seru banget sih sumpah ganti map main sayang pakai paket data wifi,2,Positif
roblox is sok much fun,0,Negatif
suka banget kode sebal tolong murah rp itempakaian aksesoris,1,Positif
main hutan,1,Positif
game ya bagus gue suka map nya mainin gue suka item ugc cari item ugc kadang afk pas gue coba cari item ugc pesti halang gue ben ben bikin tshirt doang ban roblox,0,Negatif
damsjsjs gem bagus banet sif,1,Positif
tolong koneksi ya baik wifi lancar login koneksi eror,1,Positif
main simulasi,0,Negatif
robux infinity,0,Negatif
game ya seru asik,4,Positif
rating seru bikin gue bahagia,1,Positif
mantap,2,Positif
bagus game ya seru,4,Positif
bikin tagih,-1,Negatif
cok kaken bacot game rating,1,Positif
suka disconnect pas afk,1,Positif
bagus doang,1,Positif
game ee gue decal kali kagak mulu pas pas bangkai,1,Positif
bagus minus dikit game ya anak ya sopan,1,Positif
bagus habis sukakk banget apk main ya main seru tantang,3,Positif
main ya bagus main ya mabar temanseru,3,Positif
game ya seru bagus map ya,5,Positif
gem ya bagus,2,Positif
game bagus game band,3,Positif
buattt mood balekk kadang lag kali,1,Positif
the game is good but please a voice chat feature without an id card,2,Positif
bagus aplikasi ya bagus lalot,2,Positif
server ya eror mulu,-1,Negatif
bintang simpan jaring an lancar bug tolong baik,1,Positif
apcborang cari dluan gue block roblox game bocildikit dikit block,-3,Negatif
gem ya bagus cocok anakanak tampa iklan,1,Positif
game ya bagus main fist,3,Positif
gem ya seru,2,Positif
bagus game bagus,3,Positif
the game is sok bad when i play a map that i like always exits the application by itself and that makes me very upset i beg you fix again dont pakai players who feel like me become upset like me the game is really really bad unlike the old version there were no glitches at all for the current version i really disappointed,0,Negatif
tipu trade ganti fitur trade orang,0,Negatif
bagus banget ungrrr,2,Positif
tolong main akun ambil orang nama arthariskysi tingkat aman hecer gem ajing,0,Negatif
bagus bangetbtw tambah game ya ya min biar,5,Positif
sistem aman game ya jelek banget masak akun hilang,0,Negatif
game ya seru,3,Positif
seru ajar game,2,Positif
woi bagus nya main,1,Positif
kembali akun roblox ku,0,Negatif
seru main hibur,1,Positif
main ya seru banget,3,Positif
bagus hd gasuka update atur hilang gamepass tombolnyaa bingung game pas dimanaa viturnya bikin puyengg kayak vitur plsss,1,Positif
mohon developer ya baik bug ya avatar kali alami bug avatar ya buram tom buram map bulak cari hilang bug ya avatar buram mohon baik,-2,Negatif
roblok bagus neng hapus,0,Negatif
mabar kena bug,-2,Negatif
suka banget main ya game minecraft pokok suka banget,6,Positif
game ya seru banget semenjak main game teman,5,Positif
keren,1,Positif
seru banget,2,Positif
game bagus game ya bosn ganti ganti teman ramah orang jahatmunafik reting,4,Positif
barus,0,Negatif
roblox admin come on please update the game sok that can be played on a cloud phone pakai easier play games that require grinding if you cant use a cloud phone could even damage our own devices come on please update sok that we can use a cloud phone again,-1,Negatif
cari map diroblox pilih map cdid malam hutan,-2,Negatif
game tahi,0,Negatif
bagus hidup tani game,2,Positif
tarik sayang utus koneksi toong baik,2,Positif
roblox baik,1,Positif
bagus banget dalam game seruseperti game tembaktembakandllterus gue pakai delta,5,Positif
game ya bagus,3,Positif
game ya bagus hp panas tibatiba,3,Positif
kasih bintang suka main tapiaku suruh hapus ku developer roblox mohon ban main,-1,Negatif
pakai wifi,0,Negatif
bagus banget ganti usn mahal,2,Positif
bagus bangess sukaaaaaaaa ih lucu gemas,1,Positif
bug ya ngeblur nyaman banget lihat baju nge blur,3,Positif
lumayan seruh sih secret,0,Negatif
tolong shift lock butuh,-2,Negatif
coba wajib coba deh,-1,Negatif
bagus sih masuk ya robloxnya gamenya sinyal lancar,2,Positif
game bagus,2,Positif
geme ya bayak,1,Positif
secreat,0,Negatif
suka main roblox,1,Positif
seruuuu,0,Negatif
update baru roblox min hih,-1,Negatif
game suruh adep mulu,0,Negatif
game senang,2,Positif
bagus top up sih ya worthit jujur download sih cocok kadang ya ngelag ya ya byee,8,Positif
seru banget anjing,1,Positif
suka kotakkotak,1,Positif
bagus gamenya suka banget game nama roblox,4,Positif
seru,1,Positif
aplikasi ya error,-2,Negatif
bagus sih game susah tuh noob tolong banned orang bikin tower susahplus server ya downgame kikir,3,Positif
tolong kasih tau talon kikir,0,Negatif
gamenya bagussssss,0,Negatif
dengen alam game,1,Positif
roblox bagus banget karakter luculucu main ya bagus banget,5,Positif
vagusbangetgemnyah,0,Negatif
gemas bego diam doang katain jalan katain kayak tiktok orang ya tau akhlak bocil bodoin gemas bocil hp hp ya ambil rumah hancur,1,Positif
tolong benerkan akun roblox ku banned,0,Negatif
bagus robux gratis,2,Positif
gue bagus banget,2,Positif
game bagus banget sumpah ajar,3,Positif
cocok bosan,-1,Negatif
game sih play store anjir,1,Positif
game ya sih seru banget cuman citer tower tower kasih ranting plis developer perkuatin game ya,6,Positif
bagus sih kadang nge lag jaring bagus bagus,4,Positif
l update,0,Negatif
kena bug bacaaan kayak ref afmelr security threat detected tolong biar,-3,Negatif
tolongg adminnn eror ya sinyal bagus lancar tida masuk,0,Negatif
main ya bagus banget,3,Positif
gamenya seru banget main hp panas,2,Positif
loading gabung blok roblox buruk kamubandi fix roblox rumah admin,-1,Negatif
game seru banget game favorit grow a garden roblox seru mabar chat tolong tambah map roblox seru batas sih rating bintang murah robux ya ya borong deh,9,Positif
wow amazing roblox,0,Negatif
asik banget,2,Positif
gamee vav sih suka sieehhh mapp fish pokoknyaa sukakk banget deh,2,Positif
towernya kesal,0,Negatif
asik,1,Positif
game ya bagus fist,3,Positif
buruk,-1,Negatif
suka roblox,1,Positif
turunin mbak ya gua instal gakbisa,0,Negatif
game seruuuuuuuuuu banget tagih main grow a garden,1,Positif
bagus banget roblok seru teryata,3,Positif
gamenya bagus disconet kont,1,Positif
sumpah seru banget gema cobaindah,3,Positif
terima kasih ya roblox tani streess ku respect,2,Positif
iklan mu ku jengkel iklan mu pendek adil,-3,Negatif
bagus namu gem hapus,0,Negatif
gem ya cakep,1,Positif
game ya bagus,3,Positif
bagus seru bug ya,2,Positif
ok banget,3,Positif
bagus seru mabar teman,2,Positif
hp custom room update,0,Negatif
game gajelasasal nge ban oranggw etik pft doang ban reason harrasment,1,Positif
suka banget game nya map jajah perbanyakin item gratis nya orang bagi tolong ya developer nya sekian ulas semuaa,3,Positif
gema bagus masuk game ya masuk tolong hapus stel a brenrod gamenya berat,0,Negatif
i like that game sok much love,1,Positif
dikit dikit koneksi putus,-2,Negatif
updateeee suruh update pas gamenya tolong baik,1,Positif
luarbiasa,0,Negatif
main ya seru banget mabar teman crush,3,Positif
bagus,1,Positif
enak gem ya pakai wifi login ya,3,Positif
seru gene nya,1,Positif
seru,1,Positif
jujur game seru banget obrol vc vr ngechat main bareng,3,Positif
robux,0,Negatif
plsss seru banget anjir donglot,2,Positif
game ya keren suka,4,Positif
seru banget,2,Positif
game top up robux main pakai data wifi akun roblox buka roblox,2,Positif
bagus game ya mabar teman kurang eror game paused,1,Positif
game bolehin afk pas update kadang eror hadeh,0,Negatif
game ya seru seru map fish pokok ya seru banget deh,7,Positif
btw main old main,0,Negatif
seru banget main,2,Positif
game bagus game upgrade susah kemarin mengupgrade roblox ya meng hapus whatsapp pas upgrade hapus aplikasi cuman aplikasi mohon baik ya,2,Positif
gamenya bagus banget,2,Positif
bagus sih game ya gunung ya susah loh papa,3,Positif
gem asik,1,Positif
main lobby loading erorr pls baik,0,Negatif
robuk,0,Negatif
game ya seru banget kaya seru map robax update kasih robux kasih seru gema sumpah seru banget tau kasih bintang deh,8,Positif
seru banget sih suka orang seru asyik suka geme terimakasih buat game ya terimakasih,11,Positif
permainanjya seru banget,2,Positif
game seru banget map ya,4,Positif
iklan menit anjing,-2,Negatif
tolong roblox tambah biar akses voice changer versi mobilehptablet minplis min,2,Positif
puas game map main pesan roblox banyakkin map ya,4,Positif
talon plis kasih gua secret kali pancing ya,0,Negatif
bagus sih gamenya malesnya pas masuk,1,Positif
game ya bagus grafik lumayan main ya game grow a garden pet huge titanic godly mega jumbo tolong baik the game is good the graphics are decent there are lots of games but the problem is the grow a garden game i dont know why all the pets become small even though they are huge titanic godly orang mega and jumbo they are still the same,7,Positif
game asik lere,2,Positif
game bagus anak umur,1,Positif
bagus main gem roblox,1,Positif
gamenya fish itgrow a garden dll,0,Negatif
seru banget game,3,Positif
geme ya bagus orang orang roblox kasih ya,3,Positif
aplikasi jelekkk game bocil game otak rusakknk jelek,-1,Negatif
geme ya bagus bug hecker,1,Positif
bulan main game fish susah banget secret kasih bintang talon talon,0,Negatif
